Year*,Jurisdiction,Type,Stream,Fate,Tonnes
2013,WA,Polypropylene (PP),C&I,Recycling,500
2013,WA,Polypropylene (PP),MSW,Recycling,"1,200"
2013,WA,Polypropylene (PP),Total,Recycling,"1,700"
2013,WA,Polystyrene (PS),MSW,Recycling,300
2013,WA,Polystyrene (PS),Total,Recycling,300
2013,WA,Polyvinyl chloride (PVC),MSW,Recycling,400
2013,WA,Polyvinyl chloride (PVC),Total,Recycling,400
2013,WA,Undefined Plastic (Category),C&D,Landfill,"19,994"
2013,WA,Undefined Plastic (Category),C&I,Landfill,"191,802"
2013,WA,Undefined Plastic (Category),C&I,Recycling,"6,150"
2013,WA,Undefined Plastic (Category),MSW,Landfill,"162,174"
2013,WA,Undefined Plastic (Category),MSW,Recycling,"7,050"
2013,WA,Undefined Plastic (Category),Total,Landfill,"373,969"
2013,WA,Undefined Plastic (Category),Total,Recycling,"13,200"
2010,ACT,Undefined Plastic (Category),C&D,Landfill,"2,647"
2010,ACT,Undefined Plastic (Category),C&I,Landfill,"19,586"
2010,ACT,Undefined Plastic (Category),C&I,Recycling,745
2010,ACT,Undefined Plastic (Category),MSW,Landfill,"8,165"
2010,ACT,Undefined Plastic (Category),MSW,Recycling,"1,329"
2010,ACT,Undefined Plastic (Category),Total,Landfill,"30,398"
2010,ACT,Undefined Plastic (Category),Total,Recycling,"2,074"
2010,NSW,Undefined Plastic (Category),C&D,Landfill,"24,781"
2010,NSW,Undefined Plastic (Category),C&I,Landfill,"445,028"
2010,NSW,Undefined Plastic (Category),C&I,Recycling,"28,000"
2010,NSW,Undefined Plastic (Category),MSW,Landfill,"278,789"
2010,NSW,Undefined Plastic (Category),MSW,Recycling,"44,500"
2010,NSW,Undefined Plastic (Category),Total,Landfill,"748,598"
2010,NSW,Undefined Plastic (Category),Total,Recycling,"72,500"
2010,NT,Polyethylene terephthalate (PET),MSW,Recycling,403
2010,NT,Polyethylene terephthalate (PET),Total,Recycling,403
2010,NT,Undefined Plastic (Category),C&D,Landfill,"3,342"
2010,NT,Undefined Plastic (Category),C&I,Landfill,"8,132"
2010,NT,Undefined Plastic (Category),MSW,Landfill,"19,157"
2010,NT,Undefined Plastic (Category),MSW,Recycling,403
2010,NT,Undefined Plastic (Category),Total,Landfill,"30,631"
2010,NT,Undefined Plastic (Category),Total,Recycling,403
2010,Qld,Undefined Plastic (Category),C&D,Landfill,"23,863"
2010,Qld,Undefined Plastic (Category),C&D,Recycling,59
2010,Qld,Undefined Plastic (Category),C&I,Landfill,"231,580"
2010,Qld,Undefined Plastic (Category),C&I,Recycling,"11,785"
2010,Qld,Undefined Plastic (Category),MSW,Landfill,"266,487"
2010,Qld,Undefined Plastic (Category),MSW,Recycling,"17,693"
2010,Qld,Undefined Plastic (Category),Total,Landfill,"521,930"
2010,Qld,Undefined Plastic (Category),Total,Recycling,"29,537"
2010,SA,High density polyethylene (HDPE),Total,Recycling,"4,600"
2010,SA,Low density polyethylene (LDPE),Total,Recycling,"4,600"
2010,SA,Other plastics,Total,Recycling,"5,800"
2010,SA,Polyethylene terephthalate (PET),Total,Recycling,"4,100"
2010,SA,Polypropylene (PP),Total,Recycling,"4,000"
2010,SA,Polystyrene (PS),Total,Recycling,430
2010,SA,Polyvinyl chloride (PVC),Total,Recycling,170
2010,SA,Undefined Plastic (Category),C&D,Landfill,"2,575"
2010,SA,Undefined Plastic (Category),C&I,Energy from waste facility,"16,500"
2010,SA,Undefined Plastic (Category),C&I,Landfill,"16,234"
2010,SA,Undefined Plastic (Category),MSW,Landfill,"23,310"
2010,SA,Undefined Plastic (Category),Total,Energy from waste facility,"16,500"
2010,SA,Undefined Plastic (Category),Total,Landfill,"42,119"
2010,SA,Undefined Plastic (Category),Total,Recycling,"23,700"
2010,Tas,Undefined Plastic (Category),C&D,Landfill,"1,045"
2010,Tas,Undefined Plastic (Category),C&I,Landfill,"47,393"
2010,Tas,Undefined Plastic (Category),C&I,Recycling,"3,386"
2010,Tas,Undefined Plastic (Category),MSW,Landfill,"26,472"
2010,Tas,Undefined Plastic (Category),MSW,Recycling,171
2010,Tas,Undefined Plastic (Category),Total,Landfill,"74,910"
2010,Tas,Undefined Plastic (Category),Total,Recycling,"3,557"
2010,Vic,Undefined Plastic (Category),C&D,Landfill,"20,280"
2010,Vic,Undefined Plastic (Category),C&D,Recycling,"3,216"
2010,Vic,Undefined Plastic (Category),C&I,Landfill,"271,688"
2010,Vic,Undefined Plastic (Category),C&I,Recycling,"86,991"
2010,Vic,Undefined Plastic (Category),MSW,Landfill,"250,918"
2010,Vic,Undefined Plastic (Category),MSW,Recycling,"55,996"
2010,Vic,Undefined Plastic (Category),Total,Landfill,"542,887"
2010,Vic,Undefined Plastic (Category),Total,Recycling,"146,203"
2010,WA,High density polyethylene (HDPE),Total,Recycling,"6,056"
2010,WA,Low density polyethylene (LDPE),Total,Recycling,"1,968"
2010,WA,Other plastics,Total,Recycling,"1,955"
2010,WA,Polyethylene terephthalate (PET),Total,Recycling,"1,808"
2010,WA,Polypropylene (PP),Total,Recycling,"1,904"
2010,WA,Polystyrene (PS),Total,Recycling,374
2010,WA,Polyvinyl chloride (PVC),Total,Recycling,288
2010,WA,Undefined Plastic (Category),C&D,Landfill,"45,476"
2010,WA,Undefined Plastic (Category),C&I,Landfill,"207,674"
2010,WA,Undefined Plastic (Category),MSW,Landfill,"89,971"
2010,WA,Undefined Plastic (Category),Total,Landfill,"343,121"
2010,WA,Undefined Plastic (Category),Total,Recycling,"14,353"
2009,ACT,Undefined Plastic (Category),C&D,Landfill,"2,005"
2009,ACT,Undefined Plastic (Category),C&I,Landfill,"15,359"
2009,ACT,Undefined Plastic (Category),C&I,Recycling,685
2009,ACT,Undefined Plastic (Category),MSW,Landfill,"6,285"
2009,ACT,Undefined Plastic (Category),MSW,Recycling,"1,224"
2009,ACT,Undefined Plastic (Category),Total,Landfill,"23,650"
2009,ACT,Undefined Plastic (Category),Total,Recycling,"1,909"
2009,NSW,Undefined Plastic (Category),C&D,Landfill,"24,693"
2009,NSW,Undefined Plastic (Category),C&I,Landfill,"419,413"
2009,NSW,Undefined Plastic (Category),C&I,Recycling,"28,000"
2009,NSW,Undefined Plastic (Category),MSW,Landfill,"278,376"
2009,NSW,Undefined Plastic (Category),MSW,Recycling,"44,500"
2009,NSW,Undefined Plastic (Category),Total,Landfill,"722,482"
2009,NSW,Undefined Plastic (Category),Total,Recycling,"72,500"
2009,NT,Polyethylene terephthalate (PET),MSW,Recycling,399
2009,NT,Polyethylene terephthalate (PET),Total,Recycling,399
2009,NT,Undefined Plastic (Category),C&D,Landfill,"3,307"
2009,NT,Undefined Plastic (Category),C&I,Landfill,"8,048"
2009,NT,Undefined Plastic (Category),MSW,Landfill,"18,959"
2009,NT,Undefined Plastic (Category),MSW,Recycling,399
2009,NT,Undefined Plastic (Category),Total,Landfill,"30,314"
2009,NT,Undefined Plastic (Category),Total,Recycling,399
2009,Qld,Undefined Plastic (Category),C&D,Landfill,"35,179"
2009,Qld,Undefined Plastic (Category),C&D,Recycling,56
2009,Qld,Undefined Plastic (Category),C&I,Landfill,"265,400"
2009,Qld,Undefined Plastic (Category),C&I,Recycling,"11,193"
2009,Qld,Undefined Plastic (Category),MSW,Landfill,"265,019"
2009,Qld,Undefined Plastic (Category),MSW,Recycling,"16,803"
2009,Qld,Undefined Plastic (Category),Total,Landfill,"565,598"
2009,Qld,Undefined Plastic (Category),Total,Recycling,"28,052"
2009,SA,High density polyethylene (HDPE),Total,Recycling,"4,900"
2009,SA,Low density polyethylene (LDPE),Total,Recycling,"4,200"
2009,SA,Other plastics,Total,Recycling,"1,600"
2009,SA,Polyethylene terephthalate (PET),Total,Recycling,"5,500"
2009,SA,Polypropylene (PP),Total,Recycling,"4,000"
2009,SA,Polystyrene (PS),Total,Recycling,200
2009,SA,Polyvinyl chloride (PVC),Total,Recycling,80
2009,SA,Undefined Plastic (Category),C&D,Landfill,"3,078"
2009,SA,Undefined Plastic (Category),C&I,Energy from waste facility,"16,500"
2009,SA,Undefined Plastic (Category),C&I,Landfill,"19,613"
2009,SA,Undefined Plastic (Category),MSW,Landfill,"28,218"
2009,SA,Undefined Plastic (Category),Total,Energy from waste facility,"16,500"
2009,SA,Undefined Plastic (Category),Total,Landfill,"50,909"
2009,SA,Undefined Plastic (Category),Total,Recycling,"20,480"
2009,Tas,Undefined Plastic (Category),C&D,Landfill,743
2009,Tas,Undefined Plastic (Category),C&I,Landfill,"40,318"
2009,Tas,Undefined Plastic (Category),C&I,Recycling,"1,698"
2009,Tas,Undefined Plastic (Category),MSW,Landfill,"24,554"
2009,Tas,Undefined Plastic (Category),MSW,Recycling,465
2009,Tas,Undefined Plastic (Category),Total,Landfill,"65,616"
2009,Tas,Undefined Plastic (Category),Total,Recycling,"2,163"
2009,Vic,Undefined Plastic (Category),C&D,Landfill,"19,644"
2009,Vic,Undefined Plastic (Category),C&D,Recycling,"2,941"
2009,Vic,Undefined Plastic (Category),C&I,Landfill,"263,156"
2009,Vic,Undefined Plastic (Category),C&I,Recycling,"96,754"
2009,Vic,Undefined Plastic (Category),MSW,Landfill,"251,660"
2009,Vic,Undefined Plastic (Category),MSW,Recycling,"55,111"
2009,Vic,Undefined Plastic (Category),Total,Landfill,"534,459"
2009,Vic,Undefined Plastic (Category),Total,Recycling,"154,806"
2009,WA,High density polyethylene (HDPE),Total,Recycling,"5,474"
2009,WA,Low density polyethylene (LDPE),Total,Recycling,"1,498"
2009,WA,Other plastics,Total,Recycling,848
2009,WA,Polyethylene terephthalate (PET),Total,Recycling,"2,842"
2009,WA,Polypropylene (PP),Total,Recycling,"2,370"
2009,WA,Polystyrene (PS),Total,Recycling,430
2009,WA,Polyvinyl chloride (PVC),Total,Recycling,476
2009,WA,Undefined Plastic (Category),C&D,Landfill,"60,732"
2009,WA,Undefined Plastic (Category),C&I,Landfill,"281,261"
2009,WA,Undefined Plastic (Category),MSW,Landfill,"119,876"
2009,WA,Undefined Plastic (Category),Total,Landfill,"461,869"
2009,WA,Undefined Plastic (Category),Total,Recycling,"13,938"
2008,ACT,Undefined Plastic (Category),C&D,Landfill,"1,419"
2008,ACT,Undefined Plastic (Category),C&I,Landfill,"14,623"
2008,ACT,Undefined Plastic (Category),C&I,Recycling,551
2008,ACT,Undefined Plastic (Category),MSW,Landfill,"8,435"
2008,ACT,Undefined Plastic (Category),MSW,Recycling,695
2008,ACT,Undefined Plastic (Category),Total,Landfill,"24,477"
2008,ACT,Undefined Plastic (Category),Total,Recycling,"1,246"
2008,NSW,Undefined Plastic (Category),C&D,Landfill,"42,435"
2008,NSW,Undefined Plastic (Category),C&D,Recycling,141
2008,NSW,Undefined Plastic (Category),C&I,Landfill,"523,974"
2008,NSW,Undefined Plastic (Category),C&I,Recycling,"29,306"
2008,NSW,Undefined Plastic (Category),MSW,Landfill,"302,375"
2008,NSW,Undefined Plastic (Category),MSW,Recycling,"40,832"
2008,NSW,Undefined Plastic (Category),Total,Landfill,"868,783"
2008,NSW,Undefined Plastic (Category),Total,Recycling,"70,279"
2008,NT,High density polyethylene (HDPE),C&I,Recycling,50
2008,NT,High density polyethylene (HDPE),MSW,Recycling,150
2008,NT,High density polyethylene (HDPE),Total,Recycling,200
2008,NT,Other plastics,C&I,Recycling,50
2008,NT,Other plastics,MSW,Recycling,60
2008,NT,Other plastics,Total,Recycling,110
2008,NT,Polyethylene terephthalate (PET),C&I,Recycling,100
2008,NT,Polyethylene terephthalate (PET),MSW,Recycling,200
2008,NT,Polyethylene terephthalate (PET),Total,Recycling,300
2008,NT,Undefined Plastic (Category),C&D,Landfill,"3,271"
2008,NT,Undefined Plastic (Category),C&I,Landfill,"7,960"
2008,NT,Undefined Plastic (Category),C&I,Recycling,200
2008,NT,Undefined Plastic (Category),MSW,Landfill,"18,752"
2008,NT,Undefined Plastic (Category),MSW,Recycling,410
2008,NT,Undefined Plastic (Category),Total,Landfill,"29,983"
2008,NT,Undefined Plastic (Category),Total,Recycling,610
2008,Qld,Undefined Plastic (Category),C&D,Landfill,"33,113"
2008,Qld,Undefined Plastic (Category),C&D,Recycling,57
2008,Qld,Undefined Plastic (Category),C&I,Landfill,"274,361"
2008,Qld,Undefined Plastic (Category),C&I,Recycling,"11,904"
2008,Qld,Undefined Plastic (Category),MSW,Landfill,"284,009"
2008,Qld,Undefined Plastic (Category),MSW,Recycling,"16,586"
2008,Qld,Undefined Plastic (Category),Total,Landfill,"591,483"
2008,Qld,Undefined Plastic (Category),Total,Recycling,"28,547"
2008,SA,High density polyethylene (HDPE),Total,Recycling,"2,685"
2008,SA,Low density polyethylene (LDPE),Total,Recycling,"2,954"
2008,SA,Other plastics,Total,Recycling,462
2008,SA,Polyethylene terephthalate (PET),Total,Recycling,"5,200"
2008,SA,Polypropylene (PP),Total,Recycling,"1,529"
2008,SA,Polystyrene (PS),Total,Recycling,540
2008,SA,Polyvinyl chloride (PVC),Total,Recycling,408
2008,SA,Undefined Plastic (Category),C&D,Landfill,"3,352"
2008,SA,Undefined Plastic (Category),C&I,Energy from waste facility,"16,500"
2008,SA,Undefined Plastic (Category),C&I,Landfill,"21,360"
2008,SA,Undefined Plastic (Category),MSW,Landfill,"30,732"
2008,SA,Undefined Plastic (Category),Total,Energy from waste facility,"16,500"
2008,SA,Undefined Plastic (Category),Total,Landfill,"55,444"
2008,SA,Undefined Plastic (Category),Total,Recycling,"13,778"
2008,Tas,Undefined Plastic (Category),C&D,Landfill,686
2008,Tas,Undefined Plastic (Category),C&I,Landfill,"41,997"
2008,Tas,Undefined Plastic (Category),C&I,Recycling,648
2008,Tas,Undefined Plastic (Category),MSW,Landfill,"24,613"
2008,Tas,Undefined Plastic (Category),MSW,Recycling,178
2008,Tas,Undefined Plastic (Category),Total,Landfill,"67,295"
2008,Tas,Undefined Plastic (Category),Total,Recycling,826
2008,Vic,Undefined Plastic (Category),C&D,Landfill,"9,310"
2008,Vic,Undefined Plastic (Category),C&D,Recycling,"3,879"
2008,Vic,Undefined Plastic (Category),C&I,Landfill,"204,774"
2008,Vic,Undefined Plastic (Category),C&I,Recycling,"89,062"
2008,Vic,Undefined Plastic (Category),MSW,Landfill,"198,733"
2008,Vic,Undefined Plastic (Category),MSW,Recycling,"50,708"
2008,Vic,Undefined Plastic (Category),Total,Landfill,"412,817"
2008,Vic,Undefined Plastic (Category),Total,Recycling,"143,649"
2008,WA,High density polyethylene (HDPE),Total,Recycling,"6,700"
2008,WA,Low density polyethylene (LDPE),Total,Recycling,"3,685"
2008,WA,Other plastics,Total,Recycling,"1,117"
2008,WA,Polyethylene terephthalate (PET),Total,Recycling,"3,751"
2008,WA,Polypropylene (PP),Total,Recycling,"2,983"
2008,WA,Polystyrene (PS),Total,Recycling,530
2008,WA,Polyvinyl chloride (PVC),Total,Recycling,652
2008,WA,Undefined Plastic (Category),C&D,Landfill,"48,223"
2008,WA,Undefined Plastic (Category),C&I,Landfill,"221,628"
2008,WA,Undefined Plastic (Category),MSW,Landfill,"95,205"
2008,WA,Undefined Plastic (Category),Total,Landfill,"365,056"
2008,WA,Undefined Plastic (Category),Total,Recycling,"19,418"
2006,ACT,Undefined Plastic (Category),C&D,Landfill,"1,071"
2006,ACT,Undefined Plastic (Category),C&I,Landfill,"14,265"
2006,ACT,Undefined Plastic (Category),C&I,Recycling,338
2006,ACT,Undefined Plastic (Category),MSW,Landfill,"10,697"
2006,ACT,Undefined Plastic (Category),MSW,Recycling,827
2006,ACT,Undefined Plastic (Category),Total,Landfill,"26,033"
2006,ACT,Undefined Plastic (Category),Total,Recycling,"1,165"
2006,NSW,Undefined Plastic (Category),C&D,Landfill,"24,781"
2006,NSW,Undefined Plastic (Category),C&D,Recycling,"1,842"
2006,NSW,Undefined Plastic (Category),C&I,Landfill,"446,344"
2006,NSW,Undefined Plastic (Category),C&I,Recycling,"37,285"
2006,NSW,Undefined Plastic (Category),MSW,Landfill,"278,789"
2006,NSW,Undefined Plastic (Category),MSW,Recycling,"34,559"
2006,NSW,Undefined Plastic (Category),Total,Landfill,"749,913"
2006,NSW,Undefined Plastic (Category),Total,Recycling,"73,686"
2006,NT,High density polyethylene (HDPE),C&I,Recycling,50
2006,NT,High density polyethylene (HDPE),MSW,Recycling,150
2006,NT,High density polyethylene (HDPE),Total,Recycling,200
2006,NT,Other plastics,C&I,Recycling,50
2006,NT,Other plastics,MSW,Recycling,60
2006,NT,Other plastics,Total,Recycling,110
2006,NT,Polyethylene terephthalate (PET),C&I,Recycling,100
2006,NT,Polyethylene terephthalate (PET),MSW,Recycling,200
2006,NT,Polyethylene terephthalate (PET),Total,Recycling,300
2006,NT,Undefined Plastic (Category),C&D,Landfill,"5,381"
2006,NT,Undefined Plastic (Category),C&I,Landfill,"13,096"
2006,NT,Undefined Plastic (Category),C&I,Recycling,200
2006,NT,Undefined Plastic (Category),MSW,Landfill,"30,849"
2006,NT,Undefined Plastic (Category),MSW,Recycling,410
2006,NT,Undefined Plastic (Category),Total,Landfill,"49,326"
2006,NT,Undefined Plastic (Category),Total,Recycling,610
2006,Qld,Undefined Plastic (Category),C&D,Landfill,"31,411"
2006,Qld,Undefined Plastic (Category),C&D,Recycling,560
2006,Qld,Undefined Plastic (Category),C&I,Landfill,"260,262"
2006,Qld,Undefined Plastic (Category),C&I,Recycling,"13,388"
2006,Qld,Undefined Plastic (Category),MSW,Landfill,"269,415"
2006,Qld,Undefined Plastic (Category),MSW,Recycling,"17,187"
2006,Qld,Undefined Plastic (Category),Total,Landfill,"561,088"
2006,Qld,Undefined Plastic (Category),Total,Recycling,"31,135"
2006,SA,High density polyethylene (HDPE),Total,Recycling,"2,779"
2006,SA,Low density polyethylene (LDPE),Total,Recycling,"5,403"
2006,SA,Other plastics,Total,Recycling,922
2006,SA,Polyethylene terephthalate (PET),Total,Recycling,"5,704"
2006,SA,Polypropylene (PP),Total,Recycling,"1,542"
2006,SA,Polystyrene (PS),Total,Recycling,167
2006,SA,Polyvinyl chloride (PVC),Total,Recycling,363
2006,SA,Undefined Plastic (Category),C&D,Landfill,"3,645"
2006,SA,Undefined Plastic (Category),C&I,Landfill,"22,527"
2006,SA,Undefined Plastic (Category),MSW,Landfill,"33,048"
2006,SA,Undefined Plastic (Category),Total,Landfill,"59,220"
2006,SA,Undefined Plastic (Category),Total,Recycling,"16,880"
2006,Tas,Undefined Plastic (Category),C&D,Landfill,370
2006,Tas,Undefined Plastic (Category),C&I,Landfill,"29,238"
2006,Tas,Undefined Plastic (Category),C&I,Recycling,914
2006,Tas,Undefined Plastic (Category),MSW,Landfill,"44,303"
2006,Tas,Undefined Plastic (Category),MSW,Recycling,241
2006,Tas,Undefined Plastic (Category),Total,Landfill,"73,910"
2006,Tas,Undefined Plastic (Category),Total,Recycling,"1,155"
2006,Vic,Undefined Plastic (Category),C&D,Landfill,"8,613"
2006,Vic,Undefined Plastic (Category),C&D,Recycling,"7,512"
2006,Vic,Undefined Plastic (Category),C&I,Landfill,"209,789"
2006,Vic,Undefined Plastic (Category),C&I,Recycling,"64,908"
2006,Vic,Undefined Plastic (Category),MSW,Landfill,"210,931"
2006,Vic,Undefined Plastic (Category),MSW,Recycling,"39,030"
2006,Vic,Undefined Plastic (Category),Total,Landfill,"429,333"
2006,Vic,Undefined Plastic (Category),Total,Recycling,"111,450"
2006,WA,Undefined Plastic (Category),C&D,Landfill,"46,766"
2006,WA,Undefined Plastic (Category),C&I,Landfill,"215,396"
2006,WA,Undefined Plastic (Category),MSW,Landfill,"92,244"
2006,WA,Undefined Plastic (Category),Total,Landfill,"354,406"
2006,WA,Undefined Plastic (Category),Total,Recycling,"18,130"
